,Metric,Value,Additional Info
0,Total Trades,3.0,3 executed trades
1,Profitable Trades,1.0,33.3% of total trades
2,Losing Trades,2.0,66.7% of total trades
3,Total Profit,-0.010000000000005116,$-0.01
4,Maximum Investment,353.88,$353.88
5,Average Maximum Investment,353.88,$353.88
6,Return on Investment (ROI),-0.002825816661016479,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.0033333333333350388,$-0.00
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.010000000000005116,$-0.01
10,Profit Factor,0.5,0.50x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
