,Metric,Value,Additional Info
0,Total Trades,5.0,5 executed trades
1,Profitable Trades,2.0,40.0% of total trades
2,Losing Trades,3.0,60.0% of total trades
3,Total Profit,-0.04000000000000625,$-0.04
4,Maximum Investment,353.96999999999997,$353.97
5,Average Maximum Investment,353.96999999999997,$353.97
6,Return on Investment (ROI),-0.011300392688647699,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.008000000000001251,$-0.01
8,Average Winning Trade,0.00999999999999801,$0.01
9,Average Losing Trade,-0.020000000000000757,$-0.02
10,Profit Factor,0.3333333333332544,0.33x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
