,Metric,Value,Additional Info
0,Total Trades,9.0,9 executed trades
1,Profitable Trades,2.0,22.2% of total trades
2,Losing Trades,7.0,77.8% of total trades
3,Total Profit,-0.010000000000005116,$-0.01
4,Maximum Investment,586.0,$586.00
5,Average Maximum Investment,586.0,$586.00
6,Return on Investment (ROI),-0.0017064846416390985,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.0011111111111116794,$-0.00
8,Average Winning Trade,0.009999999999990905,$0.01
9,Average Losing Trade,-0.004285714285712418,$-0.00
10,Profit Factor,0.6666666666663509,0.67x return ratio
11,Stop Loss Hit Rate,11.11111111111111,11.1% of total trades
