,Metric,Value,Additional Info
0,Total Trades,7.0,7 executed trades
1,Profitable Trades,4.0,57.1% of total trades
2,Losing Trades,3.0,42.9% of total trades
3,Total Profit,-0.05999999999998806,$-0.06
4,Maximum Investment,439.36,$439.36
5,Average Maximum Investment,439.36,$439.36
6,Return on Investment (ROI),-0.01365622723961855,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.008571428571426867,$-0.01
8,Average Winning Trade,0.010000000000001563,$0.01
9,Average Losing Trade,-0.03333333333333144,$-0.03
10,Profit Factor,0.4000000000000853,0.40x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
