,Metric,Value,Additional Info
0,Total Trades,7.0,7 executed trades
1,Profitable Trades,2.0,28.6% of total trades
2,Losing Trades,5.0,71.4% of total trades
3,Total Profit,-0.01999999999999602,$-0.02
4,Maximum Investment,468.92,$468.92
5,Average Maximum Investment,468.92,$468.92
6,Return on Investment (ROI),-0.004265119849866932,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.0028571428571422886,$-0.00
8,Average Winning Trade,0.009999999999990905,$0.01
9,Average Losing Trade,-0.007999999999995566,$-0.01
10,Profit Factor,0.49999999999982236,0.50x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
