,Metric,Value,Additional Info
0,Total Trades,2.0,2 executed trades
1,Profitable Trades,1.0,50.0% of total trades
2,Losing Trades,1.0,50.0% of total trades
3,Total Profit,0.010000000000005116,$0.01
4,Maximum Investment,234.3,$234.30
5,Average Maximum Investment,234.3,$234.30
6,Return on Investment (ROI),0.004268032437048704,0.00% (based on avg max investment)
7,Average Profit per Trade,0.005000000000002558,$0.01
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,50.0,50.0% of total trades
