,Metric,Value,Additional Info
0,Total Trades,5.0,5 executed trades
1,Profitable Trades,1.0,20.0% of total trades
2,Losing Trades,4.0,80.0% of total trades
3,Total Profit,-0.030000000000015348,$-0.03
4,Maximum Investment,438.92,$438.92
5,Average Maximum Investment,438.92,$438.92
6,Return on Investment (ROI),-0.006834958534588387,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.00600000000000307,$-0.01
8,Average Winning Trade,0.01999999999999602,$0.02
9,Average Losing Trade,-0.012500000000002842,$-0.01
10,Profit Factor,0.3999999999998295,0.40x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
