,Metric,Value,Additional Info
0,Total Trades,4.0,4 executed trades
1,Profitable Trades,3.0,75.0% of total trades
2,Losing Trades,1.0,25.0% of total trades
3,Total Profit,0.020000000000010232,$0.02
4,Maximum Investment,351.6,$351.60
5,Average Maximum Investment,351.6,$351.60
6,Return on Investment (ROI),0.005688282138796994,0.01% (based on avg max investment)
7,Average Profit per Trade,0.005000000000002558,$0.01
8,Average Winning Trade,0.013333333333335418,$0.01
9,Average Losing Trade,-0.01999999999999602,$-0.02
10,Profit Factor,2.0000000000007105,2.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
