,Metric,Value,Additional Info
0,Total Trades,5.0,5 executed trades
1,Profitable Trades,4.0,80.0% of total trades
2,Losing Trades,1.0,20.0% of total trades
3,Total Profit,0.010000000000005116,$0.01
4,Maximum Investment,329.15999999999997,$329.16
5,Average Maximum Investment,329.15999999999997,$329.16
6,Return on Investment (ROI),0.0030380362133932185,0.00% (based on avg max investment)
7,Average Profit per Trade,0.002000000000001023,$0.00
8,Average Winning Trade,0.010000000000001563,$0.01
9,Average Losing Trade,-0.030000000000001137,$-0.03
10,Profit Factor,1.3333333333334911,1.33x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
