,Metric,Value,Additional Info
0,Total Trades,9.0,9 executed trades
1,Profitable Trades,3.0,33.3% of total trades
2,Losing Trades,6.0,66.7% of total trades
3,Total Profit,-0.06100000000003547,$-0.06
4,Maximum Investment,648.0,$648.00
5,Average Maximum Investment,648.0,$648.00
6,Return on Investment (ROI),-0.009413580246919054,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.006777777777781719,$-0.01
8,Average Winning Trade,0.01566666666666568,$0.02
9,Average Losing Trade,-0.018000000000005418,$-0.02
10,Profit Factor,0.4351851851850268,0.44x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
