,Metric,Value,Additional Info
0,Total Trades,4.0,4 executed trades
1,Profitable Trades,3.0,75.0% of total trades
2,Losing Trades,1.0,25.0% of total trades
3,Total Profit,0.009999999999990905,$0.01
4,Maximum Investment,5083.75,$5083.75
5,Average Maximum Investment,5083.75,$5083.75
6,Return on Investment (ROI),0.00019670518809915722,0.00% (based on avg max investment)
7,Average Profit per Trade,0.0024999999999977263,$0.00
8,Average Winning Trade,0.3366666666666636,$0.34
9,Average Losing Trade,-1.0,$-1.00
10,Profit Factor,1.009999999999991,1.01x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
