,Metric,Value,Additional Info
0,Total Trades,10.0,10 executed trades
1,Profitable Trades,9.0,90.0% of total trades
2,Losing Trades,1.0,10.0% of total trades
3,Total Profit,0.1425999999999732,$0.14
4,Maximum Investment,936.8,$936.80
5,Average Maximum Investment,936.8,$936.80
6,Return on Investment (ROI),0.015222032450893808,0.02% (based on avg max investment)
7,Average Profit per Trade,0.01425999999999732,$0.01
8,Average Winning Trade,0.015844444444441465,$0.02
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
