,Metric,Value,Additional Info
0,Total Trades,5.0,5 executed trades
1,Profitable Trades,4.0,80.0% of total trades
2,Losing Trades,1.0,20.0% of total trades
3,Total Profit,0.5468000000000188,$0.55
4,Maximum Investment,10094.0,$10094.00
5,Average Maximum Investment,10094.0,$10094.00
6,Return on Investment (ROI),0.0054170794531406665,0.01% (based on avg max investment)
7,Average Profit per Trade,0.10936000000000376,$0.11
8,Average Winning Trade,0.1367000000000047,$0.14
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
