,Metric,Value,Additional Info
0,Total Trades,8.0,8 executed trades
1,Profitable Trades,4.0,50.0% of total trades
2,Losing Trades,4.0,50.0% of total trades
3,Total Profit,0.010000000000019327,$0.01
4,Maximum Investment,438.36,$438.36
5,Average Maximum Investment,438.36,$438.36
6,Return on Investment (ROI),0.0022812300392415657,0.00% (based on avg max investment)
7,Average Profit per Trade,0.0012500000000024158,$0.00
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.007500000000000284,$-0.01
10,Profit Factor,1.333333333333965,1.33x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
