,Metric,Value,Additional Info
0,Total Trades,2.0,2 executed trades
1,Profitable Trades,0.0,0.0% of total trades
2,Losing Trades,2.0,100.0% of total trades
3,Total Profit,-0.030000000000001137,$-0.03
4,Maximum Investment,237.0,$237.00
5,Average Maximum Investment,237.0,$237.00
6,Return on Investment (ROI),-0.012658227848101746,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.015000000000000568,$-0.02
8,Average Winning Trade,0.0,$0.00
9,Average Losing Trade,-0.015000000000000568,$-0.02
10,Profit Factor,0.0,0.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
