,Metric,Value,Additional Info
0,Total Trades,4.0,4 executed trades
1,Profitable Trades,2.0,50.0% of total trades
2,Losing Trades,2.0,50.0% of total trades
3,Total Profit,1.4210854715202004e-14,$0.00
4,Maximum Investment,219.5,$219.50
5,Average Maximum Investment,219.5,$219.50
6,Return on Investment (ROI),6.474193492119364e-15,0.00% (based on avg max investment)
7,Average Profit per Trade,3.552713678800501e-15,$0.00
8,Average Winning Trade,0.020000000000003126,$0.02
9,Average Losing Trade,-0.01999999999999602,$-0.02
10,Profit Factor,1.0000000000003553,1.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
