,Metric,Value,Additional Info
0,Total Trades,6.0,6 executed trades
1,Profitable Trades,3.0,50.0% of total trades
2,Losing Trades,3.0,50.0% of total trades
3,Total Profit,4.263256414560601e-14,$0.00
4,Maximum Investment,441.36,$441.36
5,Average Maximum Investment,441.36,$441.36
6,Return on Investment (ROI),9.659362911366234e-15,0.00% (based on avg max investment)
7,Average Profit per Trade,7.105427357601002e-15,$0.00
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.009999999999990905,$-0.01
10,Profit Factor,1.000000000001421,1.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
