,Metric,Value,Additional Info
0,Total Trades,4.0,4 executed trades
1,Profitable Trades,4.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.060000000000002274,$0.06
4,Maximum Investment,236.12,$236.12
5,Average Maximum Investment,236.12,$236.12
6,Return on Investment (ROI),0.025410808063697388,0.03% (based on avg max investment)
7,Average Profit per Trade,0.015000000000000568,$0.02
8,Average Winning Trade,0.015000000000000568,$0.02
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
