,Metric,Value,Additional Info
0,Total Trades,2.0,2 executed trades
1,Profitable Trades,2.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.020000000000010232,$0.02
4,Maximum Investment,118.69,$118.69
5,Average Maximum Investment,118.69,$118.69
6,Return on Investment (ROI),0.016850619260266434,0.02% (based on avg max investment)
7,Average Profit per Trade,0.010000000000005116,$0.01
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
