,Metric,Value,Additional Info
0,Total Trades,9.0,9 executed trades
1,Profitable Trades,5.0,55.6% of total trades
2,Losing Trades,4.0,44.4% of total trades
3,Total Profit,-0.012400000000027944,$-0.01
4,Maximum Investment,469.04,$469.04
5,Average Maximum Investment,469.04,$469.04
6,Return on Investment (ROI),-0.0026436977656549426,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.0013777777777808826,$-0.00
8,Average Winning Trade,0.013119999999997845,$0.01
9,Average Losing Trade,-0.01950000000000429,$-0.02
10,Profit Factor,0.8410256410253177,0.84x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
