,Metric,Value,Additional Info
0,Total Trades,4.0,4 executed trades
1,Profitable Trades,2.0,50.0% of total trades
2,Losing Trades,2.0,50.0% of total trades
3,Total Profit,3.75,$3.75
4,Maximum Investment,5134.75,$5134.75
5,Average Maximum Investment,5134.75,$5134.75
6,Return on Investment (ROI),0.07303179317396173,0.07% (based on avg max investment)
7,Average Profit per Trade,0.9375,$0.94
8,Average Winning Trade,1.875,$1.88
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
