,Metric,Value,Additional Info
0,Total Trades,9.0,9 executed trades
1,Profitable Trades,4.0,44.4% of total trades
2,Losing Trades,5.0,55.6% of total trades
3,Total Profit,-0.09000000000001762,$-0.09
4,Maximum Investment,586.1999999999999,$586.20
5,Average Maximum Investment,586.1999999999999,$586.20
6,Return on Investment (ROI),-0.015353121801435965,-0.02% (based on avg max investment)
7,Average Profit per Trade,-0.010000000000001959,$-0.01
8,Average Winning Trade,0.014224999999992605,$0.01
9,Average Losing Trade,-0.02937999999999761,$-0.03
10,Profit Factor,0.3873383253912529,0.39x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
