,Metric,Value,Additional Info
0,Total Trades,2.0,2 executed trades
1,Profitable Trades,1.0,50.0% of total trades
2,Losing Trades,1.0,50.0% of total trades
3,Total Profit,-0.01999999999999602,$-0.02
4,Maximum Investment,117.25,$117.25
5,Average Maximum Investment,117.25,$117.25
6,Return on Investment (ROI),-0.017057569296371873,-0.02% (based on avg max investment)
7,Average Profit per Trade,-0.00999999999999801,$-0.01
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.030000000000001137,$-0.03
10,Profit Factor,0.33333333333349124,0.33x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
