,Metric,Value,Additional Info
0,Total Trades,2.0,2 executed trades
1,Profitable Trades,1.0,50.0% of total trades
2,Losing Trades,1.0,50.0% of total trades
3,Total Profit,0.0,$0.00
4,Maximum Investment,117.21,$117.21
5,Average Maximum Investment,117.21,$117.21
6,Return on Investment (ROI),0.0,0.00% (based on avg max investment)
7,Average Profit per Trade,0.0,$0.00
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.010000000000005116,$-0.01
10,Profit Factor,1.0,1.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
