,Metric,Value,Additional Info
0,Total Trades,5.0,5 executed trades
1,Profitable Trades,3.0,60.0% of total trades
2,Losing Trades,2.0,40.0% of total trades
3,Total Profit,0.029999999999986926,$0.03
4,Maximum Investment,220.82,$220.82
5,Average Maximum Investment,220.82,$220.82
6,Return on Investment (ROI),0.013585725930616308,0.01% (based on avg max investment)
7,Average Profit per Trade,0.005999999999997385,$0.01
8,Average Winning Trade,0.009999999999995643,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
