,Metric,Value,Additional Info
0,Total Trades,3.0,3 executed trades
1,Profitable Trades,2.0,66.7% of total trades
2,Losing Trades,1.0,33.3% of total trades
3,Total Profit,-0.01999999999999602,$-0.02
4,Maximum Investment,331.20000000000005,$331.20
5,Average Maximum Investment,331.20000000000005,$331.20
6,Return on Investment (ROI),-0.006038647342993967,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.00666666666666534,$-0.01
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.04000000000000625,$-0.04
10,Profit Factor,0.5000000000001776,0.50x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
