,Metric,Value,Additional Info
0,Total Trades,5.0,5 executed trades
1,Profitable Trades,3.0,60.0% of total trades
2,Losing Trades,2.0,40.0% of total trades
3,Total Profit,0.020000000000010232,$0.02
4,Maximum Investment,235.14,$235.14
5,Average Maximum Investment,235.14,$235.14
6,Return on Investment (ROI),0.008505571149107013,0.01% (based on avg max investment)
7,Average Profit per Trade,0.004000000000002046,$0.00
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.005000000000002558,$-0.01
10,Profit Factor,3.0,3.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
