,Metric,Value,Additional Info
0,Total Trades,4.0,4 executed trades
1,Profitable Trades,4.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.03999999999997783,$0.04
4,Maximum Investment,235.14,$235.14
5,Average Maximum Investment,235.14,$235.14
6,Return on Investment (ROI),0.0170111422981959,0.02% (based on avg max investment)
7,Average Profit per Trade,0.009999999999994458,$0.01
8,Average Winning Trade,0.009999999999994458,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
