,Metric,Value,Additional Info
0,Total Trades,5.0,5 executed trades
1,Profitable Trades,0.0,0.0% of total trades
2,Losing Trades,5.0,100.0% of total trades
3,Total Profit,-0.03999999999999204,$-0.04
4,Maximum Investment,552.35,$552.35
5,Average Maximum Investment,552.35,$552.35
6,Return on Investment (ROI),-0.007241785100025716,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.007999999999998408,$-0.01
8,Average Winning Trade,0.0,$0.00
9,Average Losing Trade,-0.007999999999998408,$-0.01
10,Profit Factor,0.0,0.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
