,Metric,Value,Additional Info
0,Total Trades,17.0,17 executed trades
1,Profitable Trades,8.0,47.1% of total trades
2,Losing Trades,9.0,52.9% of total trades
3,Total Profit,-0.09000000000000341,$-0.09
4,Maximum Investment,1059.3899999999999,$1059.39
5,Average Maximum Investment,1059.3899999999999,$1059.39
6,Return on Investment (ROI),-0.00849545493161191,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.0052941176470590245,$-0.01
8,Average Winning Trade,0.011249999999995097,$0.01
9,Average Losing Trade,-0.01999999999999602,$-0.02
10,Profit Factor,0.4999999999998816,0.50x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
