,Metric,Value,Additional Info
0,Total Trades,16.0,16 executed trades
1,Profitable Trades,11.0,68.8% of total trades
2,Losing Trades,5.0,31.2% of total trades
3,Total Profit,0.02810000000003754,$0.03
4,Maximum Investment,587.6,$587.60
5,Average Maximum Investment,587.6,$587.60
6,Return on Investment (ROI),0.004782164737923339,0.00% (based on avg max investment)
7,Average Profit per Trade,0.0017562500000023462,$0.00
8,Average Winning Trade,0.042609090909094635,$0.04
9,Average Losing Trade,-0.08812000000000068,$-0.09
10,Profit Factor,1.0637766681798395,1.06x return ratio
11,Stop Loss Hit Rate,12.5,12.5% of total trades
