,Metric,Value,Additional Info
0,Total Trades,6.0,6 executed trades
1,Profitable Trades,2.0,33.3% of total trades
2,Losing Trades,4.0,66.7% of total trades
3,Total Profit,-0.040000000000034674,$-0.04
4,Maximum Investment,468.92,$468.92
5,Average Maximum Investment,468.92,$468.92
6,Return on Investment (ROI),-0.008530239699742957,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.0066666666666724455,$-0.01
8,Average Winning Trade,0.00999999999999801,$0.01
9,Average Losing Trade,-0.015000000000007674,$-0.02
10,Profit Factor,0.3333333333330965,0.33x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
