,Metric,Value,Additional Info
0,Total Trades,7.0,7 executed trades
1,Profitable Trades,3.0,42.9% of total trades
2,Losing Trades,4.0,57.1% of total trades
3,Total Profit,-0.06999999999997897,$-0.07
4,Maximum Investment,351.63,$351.63
5,Average Maximum Investment,351.63,$351.63
6,Return on Investment (ROI),-0.019907288911634093,-0.02% (based on avg max investment)
7,Average Profit per Trade,-0.009999999999996996,$-0.01
8,Average Winning Trade,0.020000000000005496,$0.02
9,Average Losing Trade,-0.03249999999999886,$-0.03
10,Profit Factor,0.4615384615386045,0.46x return ratio
11,Stop Loss Hit Rate,14.285714285714285,14.3% of total trades
