,Metric,Value,Additional Info
0,Total Trades,9.0,9 executed trades
1,Profitable Trades,4.0,44.4% of total trades
2,Losing Trades,5.0,55.6% of total trades
3,Total Profit,0.009999999999990905,$0.01
4,Maximum Investment,586.7,$586.70
5,Average Maximum Investment,586.7,$586.70
6,Return on Investment (ROI),0.0017044486108728318,0.00% (based on avg max investment)
7,Average Profit per Trade,0.0011111111111101006,$0.00
8,Average Winning Trade,0.00999999999999801,$0.01
9,Average Losing Trade,-0.006000000000000227,$-0.01
10,Profit Factor,1.3333333333330175,1.33x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
