,Metric,Value,Additional Info
0,Total Trades,8.0,8 executed trades
1,Profitable Trades,2.0,25.0% of total trades
2,Losing Trades,6.0,75.0% of total trades
3,Total Profit,-0.030000000000001137,$-0.03
4,Maximum Investment,586.1999999999999,$586.20
5,Average Maximum Investment,586.1999999999999,$586.20
6,Return on Investment (ROI),-0.005117707267144514,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.003750000000000142,$-0.00
8,Average Winning Trade,0.00999999999999801,$0.01
9,Average Losing Trade,-0.00833333333333286,$-0.01
10,Profit Factor,0.3999999999999432,0.40x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
