,Metric,Value,Additional Info
0,Total Trades,2.0,2 executed trades
1,Profitable Trades,2.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.5,$0.50
4,Maximum Investment,5232.25,$5232.25
5,Average Maximum Investment,5232.25,$5232.25
6,Return on Investment (ROI),0.009556118304744612,0.01% (based on avg max investment)
7,Average Profit per Trade,0.25,$0.25
8,Average Winning Trade,0.25,$0.25
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
