,Metric,Value,Additional Info
0,Total Trades,3.0,3 executed trades
1,Profitable Trades,2.0,66.7% of total trades
2,Losing Trades,1.0,33.3% of total trades
3,Total Profit,0.6900000000002819,$0.69
4,Maximum Investment,2337.8,$2337.80
5,Average Maximum Investment,2337.8,$2337.80
6,Return on Investment (ROI),0.02951492856532988,0.03% (based on avg max investment)
7,Average Profit per Trade,0.230000000000094,$0.23
8,Average Winning Trade,0.3500000000001364,$0.35
9,Average Losing Trade,-0.009999999999990905,$-0.01
10,Profit Factor,70.00000000009095,70.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
