,Metric,Value,Additional Info
0,Total Trades,1.0,1 executed trades
1,Profitable Trades,0.0,0.0% of total trades
2,Losing Trades,1.0,100.0% of total trades
3,Total Profit,-0.010000000000005116,$-0.01
4,Maximum Investment,118.61,$118.61
5,Average Maximum Investment,118.61,$118.61
6,Return on Investment (ROI),-0.008430992327801295,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.010000000000005116,$-0.01
8,Average Winning Trade,0.0,$0.00
9,Average Losing Trade,-0.010000000000005116,$-0.01
10,Profit Factor,0.0,0.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
