,Metric,Value,Additional Info
0,Total Trades,13.0,13 executed trades
1,Profitable Trades,3.0,23.1% of total trades
2,Losing Trades,10.0,76.9% of total trades
3,Total Profit,-0.1424000000000234,$-0.14
4,Maximum Investment,825.86,$825.86
5,Average Maximum Investment,825.86,$825.86
6,Return on Investment (ROI),-0.017242631923089072,-0.02% (based on avg max investment)
7,Average Profit per Trade,-0.010953846153847953,$-0.01
8,Average Winning Trade,0.02186666666666781,$0.02
9,Average Losing Trade,-0.020800000000002684,$-0.02
10,Profit Factor,0.3153846153845912,0.32x return ratio
11,Stop Loss Hit Rate,23.076923076923077,23.1% of total trades
