,Metric,Value,Additional Info
0,Total Trades,6.0,6 executed trades
1,Profitable Trades,4.0,66.7% of total trades
2,Losing Trades,2.0,33.3% of total trades
3,Total Profit,0.010000000000005116,$0.01
4,Maximum Investment,354.12,$354.12
5,Average Maximum Investment,354.12,$354.12
6,Return on Investment (ROI),0.002823901502317044,0.00% (based on avg max investment)
7,Average Profit per Trade,0.0016666666666675194,$0.00
8,Average Winning Trade,0.010000000000001563,$0.01
9,Average Losing Trade,-0.015000000000000568,$-0.02
10,Profit Factor,1.3333333333334911,1.33x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
