,Metric,Value,Additional Info
0,Total Trades,1.0,1 executed trades
1,Profitable Trades,1.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.009999999999990905,$0.01
4,Maximum Investment,117.98,$117.98
5,Average Maximum Investment,117.98,$117.98
6,Return on Investment (ROI),0.008476012883531874,0.01% (based on avg max investment)
7,Average Profit per Trade,0.009999999999990905,$0.01
8,Average Winning Trade,0.009999999999990905,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
