,Metric,Value,Additional Info
0,Total Trades,11.0,11 executed trades
1,Profitable Trades,9.0,81.8% of total trades
2,Losing Trades,2.0,18.2% of total trades
3,Total Profit,0.029999999999986926,$0.03
4,Maximum Investment,769.16,$769.16
5,Average Maximum Investment,769.16,$769.16
6,Return on Investment (ROI),0.0039003588330109376,0.00% (based on avg max investment)
7,Average Profit per Trade,0.0027272727272715388,$0.00
8,Average Winning Trade,0.0099999999999988,$0.01
9,Average Losing Trade,-0.030000000000001137,$-0.03
10,Profit Factor,1.499999999999763,1.50x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
