,Metric,Value,Additional Info
0,Total Trades,1.0,1 executed trades
1,Profitable Trades,0.0,0.0% of total trades
2,Losing Trades,1.0,100.0% of total trades
3,Total Profit,-0.01999999999999602,$-0.02
4,Maximum Investment,109.83,$109.83
5,Average Maximum Investment,109.83,$109.83
6,Return on Investment (ROI),-0.01820996084858055,-0.02% (based on avg max investment)
7,Average Profit per Trade,-0.01999999999999602,$-0.02
8,Average Winning Trade,0.0,$0.00
9,Average Losing Trade,-0.01999999999999602,$-0.02
10,Profit Factor,0.0,0.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
