,Metric,Value,Additional Info
0,Total Trades,5.0,5 executed trades
1,Profitable Trades,5.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.04999999999999716,$0.05
4,Maximum Investment,234.2,$234.20
5,Average Maximum Investment,234.2,$234.20
6,Return on Investment (ROI),0.02134927412467855,0.02% (based on avg max investment)
7,Average Profit per Trade,0.009999999999999431,$0.01
8,Average Winning Trade,0.009999999999999431,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
