,Metric,Value,Additional Info
0,Total Trades,8.0,8 executed trades
1,Profitable Trades,5.0,62.5% of total trades
2,Losing Trades,3.0,37.5% of total trades
3,Total Profit,-0.19000000000002615,$-0.19
4,Maximum Investment,438.52,$438.52
5,Average Maximum Investment,438.52,$438.52
6,Return on Investment (ROI),-0.043327556325829186,-0.04% (based on avg max investment)
7,Average Profit per Trade,-0.02375000000000327,$-0.02
8,Average Winning Trade,0.00999999999999659,$0.01
9,Average Losing Trade,-0.08000000000000303,$-0.08
10,Profit Factor,0.20833333333325438,0.21x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
