,Metric,Value,Additional Info
0,Total Trades,11.0,11 executed trades
1,Profitable Trades,6.0,54.5% of total trades
2,Losing Trades,5.0,45.5% of total trades
3,Total Profit,-0.07999999999998408,$-0.08
4,Maximum Investment,468.68,$468.68
5,Average Maximum Investment,468.68,$468.68
6,Return on Investment (ROI),-0.017069215669536588,-0.02% (based on avg max investment)
7,Average Profit per Trade,-0.007272727272725826,$-0.01
8,Average Winning Trade,0.01666666666666809,$0.02
9,Average Losing Trade,-0.03599999999999852,$-0.04
10,Profit Factor,0.5555555555556257,0.56x return ratio
11,Stop Loss Hit Rate,18.181818181818183,18.2% of total trades
