,Metric,Value,Additional Info
0,Total Trades,4.0,4 executed trades
1,Profitable Trades,0.0,0.0% of total trades
2,Losing Trades,4.0,100.0% of total trades
3,Total Profit,-0.01999999999998181,$-0.02
4,Maximum Investment,468.56,$468.56
5,Average Maximum Investment,468.56,$468.56
6,Return on Investment (ROI),-0.004268396790161732,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.0049999999999954525,$-0.00
8,Average Winning Trade,0.0,$0.00
9,Average Losing Trade,-0.0049999999999954525,$-0.00
10,Profit Factor,0.0,0.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
