,Metric,Value,Additional Info
0,Total Trades,4.0,4 executed trades
1,Profitable Trades,2.0,50.0% of total trades
2,Losing Trades,2.0,50.0% of total trades
3,Total Profit,-0.009999999999990905,$-0.01
4,Maximum Investment,234.0,$234.00
5,Average Maximum Investment,234.0,$234.00
6,Return on Investment (ROI),-0.004273504273500386,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.0024999999999977263,$-0.00
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.015000000000000568,$-0.02
10,Profit Factor,0.6666666666669825,0.67x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
