,Metric,Value,Additional Info
0,Total Trades,7.0,7 executed trades
1,Profitable Trades,2.0,28.6% of total trades
2,Losing Trades,5.0,71.4% of total trades
3,Total Profit,-0.0367000000000246,$-0.04
4,Maximum Investment,593.15,$593.15
5,Average Maximum Investment,593.15,$593.15
6,Return on Investment (ROI),-0.0061873050661762794,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.005242857142860657,$-0.01
8,Average Winning Trade,0.01285000000000025,$0.01
9,Average Losing Trade,-0.01248000000000502,$-0.01
10,Profit Factor,0.4118589743588167,0.41x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
