,Metric,Value,Additional Info
0,Total Trades,22.0,22 executed trades
1,Profitable Trades,17.0,77.3% of total trades
2,Losing Trades,5.0,22.7% of total trades
3,Total Profit,2.199999999999818,$2.20
4,Maximum Investment,31246.5,$31246.50
5,Average Maximum Investment,31246.5,$31246.50
6,Return on Investment (ROI),0.007040788568319069,0.01% (based on avg max investment)
7,Average Profit per Trade,0.09999999999999173,$0.10
8,Average Winning Trade,0.31176470588236366,$0.31
9,Average Losing Trade,-0.6200000000000727,$-0.62
10,Profit Factor,1.7096774193546969,1.71x return ratio
11,Stop Loss Hit Rate,4.545454545454546,4.5% of total trades
