,Metric,Value,Additional Info
0,Total Trades,2.0,2 executed trades
1,Profitable Trades,2.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.04000000000000625,$0.04
4,Maximum Investment,118.61,$118.61
5,Average Maximum Investment,118.61,$118.61
6,Return on Investment (ROI),0.033723969311193196,0.03% (based on avg max investment)
7,Average Profit per Trade,0.020000000000003126,$0.02
8,Average Winning Trade,0.020000000000003126,$0.02
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
