,Metric,Value,Additional Info
0,Total Trades,15.0,15 executed trades
1,Profitable Trades,8.0,53.3% of total trades
2,Losing Trades,7.0,46.7% of total trades
3,Total Profit,-0.0717000000000354,$-0.07
4,Maximum Investment,645.8436,$645.84
5,Average Maximum Investment,645.8436,$645.84
6,Return on Investment (ROI),-0.011101759001720448,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.0047800000000023605,$-0.00
8,Average Winning Trade,0.020862499999999784,$0.02
9,Average Losing Trade,-0.0340857142857191,$-0.03
10,Profit Factor,0.6994970662195085,0.70x return ratio
11,Stop Loss Hit Rate,6.666666666666667,6.7% of total trades
