,Metric,Value,Additional Info
0,Total Trades,9.0,9 executed trades
1,Profitable Trades,7.0,77.8% of total trades
2,Losing Trades,2.0,22.2% of total trades
3,Total Profit,-0.8999999999996362,$-0.90
4,Maximum Investment,15162.0,$15162.00
5,Average Maximum Investment,15162.0,$15162.00
6,Return on Investment (ROI),-0.005935892362482761,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.09999999999995958,$-0.10
8,Average Winning Trade,0.49285714285718185,$0.49
9,Average Losing Trade,-2.1749999999999545,$-2.17
10,Profit Factor,0.7931034482759414,0.79x return ratio
11,Stop Loss Hit Rate,11.11111111111111,11.1% of total trades
