,Metric,Value,Additional Info
0,Total Trades,6.0,6 executed trades
1,Profitable Trades,6.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.0899999999999892,$0.09
4,Maximum Investment,235.16,$235.16
5,Average Maximum Investment,235.16,$235.16
6,Return on Investment (ROI),0.038271814934508076,0.04% (based on avg max investment)
7,Average Profit per Trade,0.0149999999999982,$0.01
8,Average Winning Trade,0.0149999999999982,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
