,Metric,Value,Additional Info
0,Total Trades,14.0,14 executed trades
1,Profitable Trades,10.0,71.4% of total trades
2,Losing Trades,4.0,28.6% of total trades
3,Total Profit,-0.11000000000001364,$-0.11
4,Maximum Investment,659.22,$659.22
5,Average Maximum Investment,659.22,$659.22
6,Return on Investment (ROI),-0.016686386942145814,-0.02% (based on avg max investment)
7,Average Profit per Trade,-0.00785714285714383,$-0.01
8,Average Winning Trade,0.00999999999999801,$0.01
9,Average Losing Trade,-0.05249999999999844,$-0.05
10,Profit Factor,0.4761904761903956,0.48x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
