,Metric,Value,Additional Info
0,Total Trades,2.0,2 executed trades
1,Profitable Trades,1.0,50.0% of total trades
2,Losing Trades,1.0,50.0% of total trades
3,Total Profit,-0.010000000000005116,$-0.01
4,Maximum Investment,234.66,$234.66
5,Average Maximum Investment,234.66,$234.66
6,Return on Investment (ROI),-0.004261484701272102,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.005000000000002558,$-0.01
8,Average Winning Trade,0.01999999999999602,$0.02
9,Average Losing Trade,-0.030000000000001137,$-0.03
10,Profit Factor,0.6666666666665088,0.67x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
