,Metric,Value,Additional Info
0,Total Trades,8.0,8 executed trades
1,Profitable Trades,3.0,37.5% of total trades
2,Losing Trades,5.0,62.5% of total trades
3,Total Profit,0.020000000000010232,$0.02
4,Maximum Investment,471.6,$471.60
5,Average Maximum Investment,471.6,$471.60
6,Return on Investment (ROI),0.004240882103479693,0.00% (based on avg max investment)
7,Average Profit per Trade,0.002500000000001279,$0.00
8,Average Winning Trade,0.013333333333335418,$0.01
9,Average Losing Trade,-0.003999999999999204,$-0.00
10,Profit Factor,2.0000000000007105,2.00x return ratio
11,Stop Loss Hit Rate,25.0,25.0% of total trades
