,Metric,Value,Additional Info
0,Total Trades,9.0,9 executed trades
1,Profitable Trades,9.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.11000000000002785,$0.11
4,Maximum Investment,236.02,$236.02
5,Average Maximum Investment,236.02,$236.02
6,Return on Investment (ROI),0.04660621981189215,0.05% (based on avg max investment)
7,Average Profit per Trade,0.012222222222225318,$0.01
8,Average Winning Trade,0.012222222222225318,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
