,Metric,Value,Additional Info
0,Total Trades,12.0,12 executed trades
1,Profitable Trades,8.0,66.7% of total trades
2,Losing Trades,4.0,33.3% of total trades
3,Total Profit,-0.15000000000009095,$-0.15
4,Maximum Investment,20840.0,$20840.00
5,Average Maximum Investment,20840.0,$20840.00
6,Return on Investment (ROI),-0.000719769673704851,-0.00% (based on avg max investment)
7,Average Profit per Trade,-0.01250000000000758,$-0.01
8,Average Winning Trade,0.20625000000001137,$0.21
9,Average Losing Trade,-0.4500000000000455,$-0.45
10,Profit Factor,0.9166666666666246,0.92x return ratio
11,Stop Loss Hit Rate,16.666666666666664,16.7% of total trades
