,Metric,Value,Additional Info
0,Total Trades,12.0,12 executed trades
1,Profitable Trades,9.0,75.0% of total trades
2,Losing Trades,3.0,25.0% of total trades
3,Total Profit,0.1494000000000142,$0.15
4,Maximum Investment,431.8752,$431.88
5,Average Maximum Investment,431.8752,$431.88
6,Return on Investment (ROI),0.03459332696112539,0.03% (based on avg max investment)
7,Average Profit per Trade,0.012450000000001182,$0.01
8,Average Winning Trade,0.02701111111111408,$0.03
9,Average Losing Trade,-0.031233333333337516,$-0.03
10,Profit Factor,2.5944503735324886,2.59x return ratio
11,Stop Loss Hit Rate,16.666666666666664,16.7% of total trades
