,Metric,Value,Additional Info
0,Total Trades,4.0,4 executed trades
1,Profitable Trades,3.0,75.0% of total trades
2,Losing Trades,1.0,25.0% of total trades
3,Total Profit,0.030000000000015348,$0.03
4,Maximum Investment,329.94,$329.94
5,Average Maximum Investment,329.94,$329.94
6,Return on Investment (ROI),0.009092562284056298,0.01% (based on avg max investment)
7,Average Profit per Trade,0.007500000000003837,$0.01
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
