,Metric,Value,Additional Info
0,Total Trades,11.0,11 executed trades
1,Profitable Trades,8.0,72.7% of total trades
2,Losing Trades,3.0,27.3% of total trades
3,Total Profit,0.040000000000034674,$0.04
4,Maximum Investment,470.28,$470.28
5,Average Maximum Investment,470.28,$470.28
6,Return on Investment (ROI),0.008505571149110037,0.01% (based on avg max investment)
7,Average Profit per Trade,0.003636363636366789,$0.00
8,Average Winning Trade,0.010000000000005116,$0.01
9,Average Losing Trade,-0.013333333333335418,$-0.01
10,Profit Factor,2.0000000000007105,2.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
