,Metric,Value,Additional Info
0,Total Trades,7.0,7 executed trades
1,Profitable Trades,4.0,57.1% of total trades
2,Losing Trades,3.0,42.9% of total trades
3,Total Profit,0.3900000000000716,$0.39
4,Maximum Investment,6966.900000000001,$6966.90
5,Average Maximum Investment,6966.900000000001,$6966.90
6,Return on Investment (ROI),0.005597898634974976,0.01% (based on avg max investment)
7,Average Profit per Trade,0.055714285714295944,$0.06
8,Average Winning Trade,0.10500000000001819,$0.11
9,Average Losing Trade,-0.010000000000000378,$-0.01
10,Profit Factor,14.000000000001895,14.00x return ratio
11,Stop Loss Hit Rate,14.285714285714285,14.3% of total trades
