,Metric,Value,Additional Info
0,Total Trades,3.0,3 executed trades
1,Profitable Trades,3.0,100.0% of total trades
2,Losing Trades,0.0,0.0% of total trades
3,Total Profit,0.04999999999999716,$0.05
4,Maximum Investment,237.36,$237.36
5,Average Maximum Investment,237.36,$237.36
6,Return on Investment (ROI),0.021065048870912182,0.02% (based on avg max investment)
7,Average Profit per Trade,0.01666666666666572,$0.02
8,Average Winning Trade,0.01666666666666572,$0.02
9,Average Losing Trade,0.0,$0.00
10,Profit Factor,inf,infx return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
